"","HrsSleep2009","Sex","BdayMonth","YearBorn","Ethnicity","ASVAB","LifeSat2008","Income2008","HeightFt2010","HeightIn2010","Weight2010","Computer2010","HrsSleep2010","Cohab2009"
"7733",6,"Male",6,1981,"Black",7347,7,2000,6,0,145,3,6,FALSE
"7735",6,"Male",11,1983,"Black",16078,9,40000,5,6,273,6,6,FALSE
"7736",9,"Male",12,1980,"Black",26185,9,14400,5,8,170,2,6,TRUE
"7737",6,"Male",8,1982,"Black",39937,8,55000,6,0,193,6,9,TRUE
"7739",8,"Male",3,1984,"Black",553,10,3500,5,8,170,1,8,FALSE
"7740",8,"Female",2,1984,"Black",27691,8,15000,5,2,213,5,5,FALSE
"7741",7,"Female",8,1981,"Black",13559,8,17000,5,8,230,3,6,FALSE
"7742",6,"Female",2,1983,"Black",10961,10,30000,5,8,215,5,6,TRUE
"7744",6,"Male",3,1980,"Black",23612,10,10000,6,4,265,1,7,TRUE
"7749",6,"Female",8,1981,"Black",79418,8,26000,5,2,180,6,6,TRUE
"7755",6,"Male",5,1983,"Black",47265,7,41000,6,0,175,6,6,FALSE
"7770",8,"Female",8,1984,"Black",44587,7,25000,5,3,118,6,7,TRUE
"7774",6,"Female",8,1983,"Black",21055,10,5500,5,7,136,5,5,FALSE
"7776",5,"Male",10,1980,"Black",56587,7,34000,5,10,180,6,7,FALSE
"7778",10,"Male",5,1980,"Black",15603,7,55000,5,11,355,6,10,FALSE
"7780",5,"Female",8,1983,"Black",7065,10,12000,5,3,128,1,8,TRUE
"7782",6,"Male",4,1980,"Black",55244,9,50000,5,9,230,6,6,FALSE
"7783",10,"Male",11,1980,"Black",28634,10,48000,6,1,210,6,5,TRUE
"7786",5,"Male",9,1984,"Black",77742,10,55200,5,6,162,6,6,TRUE
"7792",8,"Female",1,1980,"Black",12573,8,5000,5,3,140,1,10,TRUE
"7793",8,"Female",11,1981,"Black",18304,10,19500,5,9,160,6,8,TRUE
"7794",8,"Male",12,1981,"Black",8453,10,40000,6,0,245,6,6,TRUE
"7796",7,"Male",1,1982,"Black",32150,7,26000,5,8,180,6,5,TRUE
"7800",7,"Female",7,1981,"Black",42233,7,7000,5,4,138,6,6,FALSE
"7801",6,"Male",3,1981,"Black",87585,7,39000,6,2,175,6,6,TRUE
"7805",6,"Female",2,1981,"Black",77138,7,121993,5,4,230,6,6,TRUE
"7807",5,"Male",5,1982,"Black",9169,8,30000,6,5,271,1,8,FALSE
"7808",6,"Male",6,1984,"Black",16329,7,10000,5,10,260,2,6,FALSE
"7812",6,"Female",2,1981,"Black",34754,8,35000,5,1,156,6,6,FALSE
"7813",6,"Female",1,1980,"Black",39453,6,27000,5,2,130,6,7,FALSE
"7815",6,"Male",1,1980,"Black",40012,8,45000,6,2,280,6,7,FALSE
"7818",8,"Female",5,1983,"Black",5223,6,500,5,6,250,1,8,FALSE
"7819",5,"Female",3,1984,"Black",8119,8,2500,5,2,130,2,5,FALSE
"7821",6,"Male",8,1982,"Black",31159,8,35000,5,10,155,5,5,FALSE
"7823",5,"Male",2,1983,"Black",9536,8,3000,6,0,220,1,8,FALSE
"7825",8,"Male",2,1981,"Black",42642,9,25000,5,6,280,5,8,FALSE
"7826",8,"Male",5,1983,"Black",38279,6,12000,6,2,225,3,9,TRUE
"7827",6,"Female",4,1981,"Black",8820,6,19200,5,6,340,3,6,FALSE
"7829",7,"Female",4,1981,"Hispanic",52760,8,28000,4,11,100,6,7,FALSE
"7830",6,"Male",8,1982,"Hispanic",74012,7,10560,5,11,125,6,7,FALSE
"7831",9,"Male",4,1983,"Hispanic",45864,7,47000,6,0,260,3,8,TRUE
"7832",7,"Female",1,1983,"Hispanic",52743,9,10000,5,1,149,6,6,TRUE
"7833",6,"Female",8,1982,"Black",29360,5,25000,5,5,204,5,7,FALSE
"7837",9,"Male",4,1984,"Black",24899,8,50000,5,10,297,4,9,TRUE
"7838",5,"Male",5,1981,"Black",20714,6,7368,6,0,198,6,4,TRUE
"7842",8,"Male",1,1982,"Black",150,5,12000,5,4,214,4,6,FALSE
"7846",5,"Female",1,1984,"Black",59583,8,24000,5,5,170,6,6,TRUE
"7847",4,"Female",6,1982,"Black",23249,4,4000,5,3,120,6,2,FALSE
"7850",18,"Female",6,1983,"Black",7870,4,11000,5,3,150,1,9,TRUE
"7851",4,"Male",8,1980,"Black",29698,6,121993,5,10,220,6,4,FALSE
"7853",6,"Female",5,1980,"Hispanic",15438,8,20000,5,5,160,6,6,TRUE
"7854",6,"Female",11,1981,"Hispanic",40808,7,18000,5,9,128,6,5,TRUE
"7862",10,"Female",12,1982,"Black",1661,10,4800,5,3,247,1,8,FALSE
"7863",4,"Female",7,1981,"Black",23850,5,15000,5,7,300,6,6,FALSE
"7864",6,"Female",9,1982,"Black",11472,8,21000,5,2,280,2,6,TRUE
"7868",5,"Female",10,1983,"Black",43981,10,121993,5,1,120,6,8,FALSE
"7870",8,"Male",11,1981,"Black",204,1,4000,6,1,165,6,4,FALSE
"7876",9,"Male",5,1982,"Black",10177,6,21000,5,11,150,5,7,TRUE
"7877",6,"Female",8,1980,"Black",24443,4,14000,5,3,274,3,7,TRUE
"7878",6,"Male",2,1983,"Black",8578,5,40000,5,11,235,6,6,TRUE
"7880",6,"Female",3,1982,"Black",69547,10,2000,5,1,160,4,6,TRUE
"7901",6,"Female",2,1984,"Hispanic",35136,6,34500,5,5,240,4,6,TRUE
"7904",8,"Male",7,1983,"Black",16440,9,45000,6,2,176,2,8,FALSE
"7906",6,"Female",7,1980,"Black",46574,7,60000,5,5,160,6,5,TRUE
"7909",6,"Male",2,1984,"Black",16420,5,3000,5,9,173,6,7,FALSE
"7911",5,"Male",4,1982,"Black",91113,3,50960,6,0,310,6,5,TRUE
"7921",8,"Female",1,1980,"Black",21496,8,41000,5,2,289,5,8,FALSE
"7922",9,"Female",2,1981,"Black",48924,7,48000,5,5,175,5,6,FALSE
"7923",5,"Male",7,1983,"Black",27322,7,11000,6,1,250,6,5,FALSE
"7925",6,"Female",10,1980,"Black",12374,10,15000,5,2,218,6,4,FALSE
"7926",2,"Female",4,1983,"Black",38058,7,18000,4,11,165,6,8,FALSE
"7927",6,"Male",5,1984,"Black",46931,10,22000,6,0,324,6,7,TRUE
"7929",8,"Female",4,1981,"Black",25659,7,35000,5,1,112,2,4,FALSE
"7931",8,"Male",9,1983,"Black",20511,10,24000,6,0,250,3,8,FALSE
"7937",4,"Male",7,1983,"Black",24204,5,29000,5,10,250,5,4,TRUE
"7939",8,"Male",3,1980,"Black",26243,9,26000,6,4,165,6,8,FALSE
"7942",8,"Male",9,1984,"Hispanic",12541,10,17177,5,5,180,6,8,FALSE
